Symbol,Date,Close,High,Low,Open,Volume
MMM,2015-01-01,164.32,164.32,164.32,164.32,0
MMM,2015-01-02,164.06,165.08,162.73,164.71,2117562
MMM,2015-01-05,160.36,163.64,160.08,163.0,3692901
MMM,2015-01-06,158.65,161.3699,157.744,160.82,3537144
MMM,2015-01-07,159.8,160.28,158.94,159.9,3081291
MMM,2015-01-08,163.63,163.69,160.52,160.65,3149592
MMM,2015-01-09,161.62,164.0,161.27,163.85,2378568
MMM,2015-01-12,160.74,162.39,160.02,162.39,2149230
MMM,2015-01-13,160.62,164.384,159.45,162.23,2706698
MMM,2015-01-14,159.84,160.53,158.5,159.04,1983535
MMM,2015-01-15,159.66,161.44,159.3675,160.89,1881406
MMM,2015-01-16,162.0,162.18,159.09,159.86,2349676
MMM,2015-01-19,162.0,162.0,162.0,162.0,0
MMM,2015-01-20,161.94,163.4,160.06,162.72,2096201
MMM,2015-01-21,162.54,163.37,161.02,161.66,1597680
MMM,2015-01-22,165.89,165.99,162.13,163.26,2225819
MMM,2015-01-23,164.02,165.98,163.91,165.75,2249181
MMM,2015-01-26,164.24,164.28,161.8001,163.62,3556293
MMM,2015-01-27,163.63,165.14,160.94,162.31,4190749
MMM,2015-01-28,163.94,166.57,163.76,164.61,3574594
MMM,2015-01-29,166.13,166.16,162.88,164.07,2674618
MMM,2015-01-30,162.3,165.22,162.3,164.75,3561892
MMM,2015-02-02,164.42,164.62,160.89,162.12,2379692
MMM,2015-02-03,165.94,166.19,164.71,165.17,2604773
MMM,2015-02-04,164.81,165.83,164.24,165.78,2363803
MMM,2015-02-05,166.55,166.59,164.75,165.31,2050539
MMM,2015-02-06,166.07,167.68,165.56,166.23,1826929
MMM,2015-02-09,164.84,165.54,163.84,164.38,2072981
MMM,2015-02-10,165.82,166.14,164.6,165.4,1885097
MMM,2015-02-11,164.48,164.97,163.47,164.52,1695064
MMM,2015-02-12,165.91,165.95,164.85,164.93,1615661
MMM,2015-02-13,165.94,166.62,165.33,165.9,1792069
MMM,2015-02-16,165.94,165.94,165.94,165.94,0
MMM,2015-02-17,166.92,166.92,165.09,165.94,2100869
MMM,2015-02-18,167.4,167.51,166.01,166.34,1552002
MMM,2015-02-19,167.09,167.55,166.58,167.4,1648814
MMM,2015-02-20,168.12,168.27,165.13,166.74,2416631
MMM,2015-02-23,168.81,168.8668,167.7045,168.14,1835977
MMM,2015-02-24,169.12,169.25,168.07,168.27,1770282
MMM,2015-02-25,168.89,169.66,168.62,168.97,2019149
MMM,2015-02-26,169.61,169.98,168.64,168.85,1789370
MMM,2015-02-27,168.65,169.75,168.555,169.66,1946016
MMM,2015-03-02,170.5,170.5,168.12,168.16,2223104
MMM,2015-03-03,168.27,169.6,167.36,169.57,2232425
MMM,2015-03-04,167.16,168.26,166.46,168.26,1575686
MMM,2015-03-05,167.57,167.7,166.69,167.21,1547152
MMM,2015-03-06,164.36,166.77,164.01,166.5,2114438
MMM,2015-03-09,166.37,166.78,164.51,164.72,1608060
MMM,2015-03-10,162.26,164.86,162.25,164.81,2564593
MMM,2015-03-11,161.73,163.22,161.66,162.7,1894304
MMM,2015-03-12,164.47,164.52,162.57,162.59,1715011
MMM,2015-03-13,162.74,164.39,161.78,164.02,2284740
MMM,2015-03-16,166.21,166.27,163.58,163.58,2111163
MMM,2015-03-17,164.23,165.53,163.38,165.52,2557898
MMM,2015-03-18,166.47,166.95,162.05,163.16,3062438
MMM,2015-03-19,165.66,166.21,164.85,166.16,1953456
MMM,2015-03-20,166.49,167.134,165.39,166.09,4371508
MMM,2015-03-23,166.13,166.905,165.83,166.83,2157053
MMM,2015-03-24,166.32,167.65,165.53,165.58,2090967
MMM,2015-03-25,162.7,166.52,162.66,166.24,2540852
MMM,2015-03-26,162.59,163.37,161.21,162.0,2050735
MMM,2015-03-27,163.5,163.9,162.02,162.36,1722661
MMM,2015-03-30,166.05,166.77,164.2,165.41,1684009
MMM,2015-03-31,164.95,166.0,164.62,165.41,2081259
MMM,2015-04-01,162.52,164.54,161.9,164.29,2148057
MMM,2015-04-02,162.8,163.97,162.12,163.38,1852611
MMM,2015-04-03,162.8,162.8,162.8,162.8,0
MMM,2015-04-06,165.48,165.99,161.4,161.66,2560334
MMM,2015-04-07,166.21,167.57,165.28,165.4,2479504
MMM,2015-04-08,166.27,167.22,165.21,166.21,1754434
MMM,2015-04-09,166.79,167.18,165.08,166.25,1680624
MMM,2015-04-10,167.07,167.7,166.22,167.5,1501941
MMM,2015-04-13,165.84,167.3599,165.6,166.76,1860416
MMM,2015-04-14,165.99,166.48,164.17,165.32,1915188
MMM,2015-04-15,166.44,167.34,165.86,166.72,1995871
MMM,2015-04-16,165.89,166.65,165.1,165.73,1662831
MMM,2015-04-17,161.71,164.54,161.13,164.53,3063509
MMM,2015-04-20,164.51,165.39,162.73,163.0,2394137
MMM,2015-04-21,164.0,165.7,163.62,165.65,1970534
MMM,2015-04-22,164.67,164.89,162.57,163.81,2228813
