Symbol,Date,Close,High,Low,Open,Volume
ADI,2015-01-01,55.52,55.52,55.52,55.52,0
ADI,2015-01-02,55.54,56.25,54.97,55.75,1329619
ADI,2015-01-05,54.525,55.45,54.5,55.04,1445196
ADI,2015-01-06,53.25,54.8,53.21,54.8,1708897
ADI,2015-01-07,53.81,54.13,53.03,53.35,1722997
ADI,2015-01-08,54.76,55.18,54.08,54.37,1882724
ADI,2015-01-09,54.72,55.04,54.12,54.96,1720267
ADI,2015-01-12,54.17,54.75,53.86,54.75,1250863
ADI,2015-01-13,53.55,55.52,53.27,54.52,2340144
ADI,2015-01-14,53.51,54.46,52.93,53.42,2524323
ADI,2015-01-15,52.73,54.2,52.67,53.76,1990309
ADI,2015-01-16,53.69,53.755,52.21,52.46,1997953
ADI,2015-01-19,53.69,53.69,53.69,53.69,0
ADI,2015-01-20,54.39,54.69,53.67,54.2,1790554
ADI,2015-01-21,54.58,54.87,53.818,54.17,1585106
ADI,2015-01-22,54.75,54.76,53.22,54.64,2555727
ADI,2015-01-23,54.51,54.96,54.26,54.85,1940277
ADI,2015-01-26,54.66,54.93,54.02,54.5,1341127
ADI,2015-01-27,53.37,54.11,53.105,53.875,1963314
ADI,2015-01-28,52.925,54.32,52.83,53.8,1687796
ADI,2015-01-29,53.23,53.61,52.43,52.43,1568515
ADI,2015-01-30,52.105,53.36,52.05,52.8,1928787
ADI,2015-02-02,52.295,52.47,51.29,52.1,2536001
ADI,2015-02-03,53.97,54.04,52.57,52.57,2214496
ADI,2015-02-04,53.78,54.15,53.45,53.6,1466507
ADI,2015-02-05,54.95,55.01,53.5,53.83,2207611
ADI,2015-02-06,55.005,55.89,54.81,55.14,1917791
ADI,2015-02-09,54.555,55.11,54.4,54.9,1436564
ADI,2015-02-10,55.54,55.6,54.39,54.75,1253540
ADI,2015-02-11,55.62,56.0,55.24,55.56,909107
ADI,2015-02-12,56.715,56.73,55.9549,56.29,1687354
ADI,2015-02-13,57.05,57.24,56.5,56.85,1404801
ADI,2015-02-16,57.05,57.05,57.05,57.05,0
ADI,2015-02-17,58.81,58.86,56.41,56.65,5685078
ADI,2015-02-18,58.38,58.73,57.1,58.29,4095264
